JobRequestID,ItemKey,SectionKey,DateKey,RequestedQty,IssuedQty,StockOnHand,ForecastQty,IsStockout,FulfillmentStatus,ForecastError_Demand,ForecastError_Supply
JR-1757,176,176,176,62,47,312,91,0,Partial – Policy/Budget,29,44
JR-1769,177,177,177,97,85,213,89,0,Partial – Policy/Budget,-8,4
JR-1781,178,178,178,141,139,469,126,0,Partial – Policy/Budget,-15,-13
JR-1781,179,179,179,101,98,353,91,0,Partial – Policy/Budget,-10,-7
JR-1782,180,180,180,162,137,267,173,0,Partial – Policy/Budget,11,36
JR-1786,181,181,181,77,75,135,115,0,Partial – Policy/Budget,38,40
JR-1794,182,182,182,195,195,211,195,0,Full,0,0
JR-1797,183,183,183,164,155,165,172,0,Partial – Policy/Budget,8,17
JR-1800,184,184,184,95,77,242,95,0,Partial – Policy/Budget,0,18
JR-1803,185,185,185,155,132,254,160,0,Partial – Policy/Budget,5,28
JR-1823,186,186,186,66,54,167,61,0,Partial – Policy/Budget,-5,7
JR-1824,187,187,187,129,122,281,128,0,Partial – Policy/Budget,-1,6
JR-1831,188,188,188,171,143,271,161,0,Partial – Policy/Budget,-10,18
JR-1833,189,189,189,198,169,320,172,0,Partial – Policy/Budget,-26,3
JR-1838,190,190,190,145,128,99,156,1,Partial – Stockout,11,28
JR-1847,191,191,191,70,68,478,53,0,Partial – Policy/Budget,-17,-15
JR-1855,192,192,192,75,48,195,75,0,Partial – Policy/Budget,0,27
JR-1855,193,193,193,35,19,413,90,0,Partial – Policy/Budget,55,71
JR-1861,194,194,194,198,193,438,222,0,Partial – Policy/Budget,24,29
JR-1864,195,195,195,87,70,398,104,0,Partial – Policy/Budget,17,34
JR-1865,196,196,196,17,2,347,32,0,Partial – Policy/Budget,15,30
JR-1869,197,197,197,49,46,407,26,0,Partial – Policy/Budget,-23,-20
JR-1878,198,198,198,91,61,4,88,1,Partial – Stockout,-3,27
JR-1878,199,199,199,38,34,415,39,0,Partial – Policy/Budget,1,5
JR-1879,200,200,200,162,144,297,188,0,Partial – Policy/Budget,26,44
JR-1881,201,201,201,6,0,203,0,0,Partial – Policy/Budget,-6,0
JR-1881,202,202,202,3,0,128,26,0,Partial – Policy/Budget,23,26
JR-1885,203,203,203,38,34,102,27,0,Partial – Policy/Budget,-11,-7
JR-1886,204,204,204,181,172,234,164,0,Partial – Policy/Budget,-17,-8
JR-1892,205,205,205,16,5,176,14,0,Partial – Policy/Budget,-2,9
JR-1893,206,206,206,62,32,317,72,0,Partial – Policy/Budget,10,40
JR-1893,207,207,207,92,92,218,107,0,Full,15,15
JR-1894,208,208,208,2,0,478,0,0,Partial – Policy/Budget,-2,0
JR-1906,209,209,209,21,11,308,21,0,Partial – Policy/Budget,0,10
JR-1911,210,210,210,31,22,207,0,0,Partial – Policy/Budget,-31,-22
JR-1916,211,211,211,125,108,191,100,0,Partial – Policy/Budget,-25,-8
JR-1916,212,212,212,197,187,178,196,1,Partial – Stockout,-1,9
JR-1920,213,213,213,59,40,112,49,0,Partial – Policy/Budget,-10,9
JR-1920,214,214,214,90,74,37,93,1,Partial – Stockout,3,19
JR-1928,215,215,215,139,117,456,131,0,Partial – Policy/Budget,-8,14
JR-1932,216,216,216,94,68,146,80,0,Partial – Policy/Budget,-14,12
JR-1937,217,217,217,91,64,169,71,0,Partial – Policy/Budget,-20,7
JR-1940,218,218,218,21,0,146,33,0,Partial – Policy/Budget,12,33
JR-1941,219,219,219,198,172,89,210,1,Partial – Stockout,12,38
JR-1944,220,220,220,143,130,495,180,0,Partial – Policy/Budget,37,50
JR-1949,221,221,221,61,33,290,37,0,Partial – Policy/Budget,-24,4
JR-1958,222,222,222,76,64,50,48,1,Partial – Stockout,-28,-16
JR-1960,223,223,223,40,37,213,91,0,Partial – Policy/Budget,51,54
JR-1966,224,224,224,191,186,414,188,0,Partial – Policy/Budget,-3,2
JR-1975,225,225,225,5,1,300,12,0,Partial – Policy/Budget,7,11
JR-1978,226,226,226,71,44,312,61,0,Partial – Policy/Budget,-10,17
JR-1982,227,227,227,150,120,287,161,0,Partial – Policy/Budget,11,41
JR-1986,228,228,228,156,126,378,157,0,Partial – Policy/Budget,1,31
JR-1994,229,229,229,135,135,216,98,0,Full,-37,-37
JR-1996,230,230,230,143,119,165,151,0,Partial – Policy/Budget,8,32
JR-1999,231,231,231,99,73,267,102,0,Partial – Policy/Budget,3,29
JR-2009,232,232,232,38,14,356,50,0,Partial – Policy/Budget,12,36
JR-2013,233,233,233,151,134,97,184,1,Partial – Stockout,33,50
JR-2016,234,234,234,176,151,151,168,1,Partial – Stockout,-8,17
JR-2029,235,235,235,160,140,49,203,1,Partial – Stockout,43,63
JR-2035,236,236,236,162,136,237,176,0,Partial – Policy/Budget,14,40
JR-2036,237,237,237,193,170,299,200,0,Partial – Policy/Budget,7,30
JR-2037,238,238,238,168,138,275,196,0,Partial – Policy/Budget,28,58
JR-2039,239,239,239,167,166,265,188,0,Partial – Policy/Budget,21,22
JR-2040,240,240,240,98,86,305,69,0,Partial – Policy/Budget,-29,-17
JR-2044,241,241,241,138,137,478,147,0,Partial – Policy/Budget,9,10
JR-2049,242,242,242,86,86,301,123,0,Full,37,37
JR-2052,243,243,243,115,110,455,113,0,Partial – Policy/Budget,-2,3
JR-2054,244,244,244,15,0,128,47,0,Partial – Policy/Budget,32,47
JR-2059,245,245,245,,154,193,140,0,Unknown,,-14
JR-2069,246,246,246,11,2,485,2,0,Partial – Policy/Budget,-9,0
JR-2071,247,247,247,30,26,451,39,0,Partial – Policy/Budget,9,13
JR-2072,248,248,248,53,32,322,88,0,Partial – Policy/Budget,35,56
JR-2073,249,249,249,78,75,172,46,0,Partial – Policy/Budget,-32,-29
JR-2097,250,250,250,22,10,284,4,0,Partial – Policy/Budget,-18,-6
JR-2100,251,251,251,0,0,309,16,0,Full,16,16
JR-2100,252,252,252,76,75,414,74,0,Partial – Policy/Budget,-2,-1
JR-2102,253,253,253,145,120,271,118,0,Partial – Policy/Budget,-27,-2
JR-2103,254,254,254,55,42,154,39,0,Partial – Policy/Budget,-16,-3
JR-2106,255,255,255,3,0,110,14,0,Partial – Policy/Budget,11,14
JR-2108,256,256,256,194,181,431,211,0,Partial – Policy/Budget,17,30
JR-2116,257,257,257,71,53,186,69,0,Partial – Policy/Budget,-2,16
JR-2124,258,258,258,23,6,145,18,0,Partial – Policy/Budget,-5,12
JR-2124,259,259,259,199,169,333,192,0,Partial – Policy/Budget,-7,23
JR-2127,260,260,260,58,46,197,39,0,Partial – Policy/Budget,-19,-7
JR-2133,261,261,261,104,83,255,102,0,Partial – Policy/Budget,-2,19
JR-2137,262,262,262,125,96,102,137,1,Partial – Stockout,12,41
JR-2137,263,263,263,197,189,179,184,1,Partial – Stockout,-13,-5
JR-2139,264,264,264,11,0,116,21,0,Partial – Policy/Budget,10,21
JR-2159,265,265,265,106,87,378,100,0,Partial – Policy/Budget,-6,13
JR-2160,266,266,266,131,124,142,109,0,Partial – Policy/Budget,-22,-15
JR-2162,267,267,267,77,60,236,85,0,Partial – Policy/Budget,8,25
JR-2163,268,268,268,181,161,30,180,1,Partial – Stockout,-1,19
JR-2169,269,269,269,15,10,405,8,0,Partial – Policy/Budget,-7,-2
JR-2174,270,270,270,88,73,342,85,0,Partial – Policy/Budget,-3,12
JR-2181,271,271,271,191,170,78,224,1,Partial – Stockout,33,54
JR-2204,272,272,272,21,13,78,16,0,Partial – Policy/Budget,-5,3
JR-2207,273,273,273,8,0,10,41,0,Partial – Policy/Budget,33,41
JR-2208,274,274,274,122,96,304,127,0,Partial – Policy/Budget,5,31
JR-2215,275,275,275,115,101,348,103,0,Partial – Policy/Budget,-12,2
JR-2225,276,276,276,136,118,123,134,1,Partial – Stockout,-2,16
JR-2225,277,277,277,146,118,330,152,0,Partial – Policy/Budget,6,34
JR-2229,278,278,278,40,40,209,49,0,Full,9,9
JR-2230,279,279,279,93,67,68,80,1,Partial – Stockout,-13,13
JR-2234,280,280,280,45,15,395,87,0,Partial – Policy/Budget,42,72
JR-2237,281,281,281,162,137,450,184,0,Partial – Policy/Budget,22,47
JR-2249,282,282,282,157,147,60,149,1,Partial – Stockout,-8,2
JR-2251,283,283,283,0,0,477,0,0,Full,0,0
JR-2252,284,284,284,186,184,456,166,0,Partial – Policy/Budget,-20,-18
JR-2256,285,285,285,166,140,154,153,1,Partial – Stockout,-13,13
JR-2258,286,286,286,63,39,255,23,0,Partial – Policy/Budget,-40,-16
JR-2264,287,287,287,177,163,244,163,0,Partial – Policy/Budget,-14,0
JR-2264,288,288,288,75,48,403,93,0,Partial – Policy/Budget,18,45
JR-2264,289,289,289,,175,405,174,0,Unknown,,-1
JR-2268,290,290,290,60,54,166,81,0,Partial – Policy/Budget,21,27
JR-2271,291,291,291,171,147,5,153,1,Partial – Stockout,-18,6
JR-2275,292,292,292,132,124,192,119,0,Partial – Policy/Budget,-13,-5
JR-2276,293,293,293,146,135,61,161,1,Partial – Stockout,15,26
JR-2279,294,294,294,94,73,269,95,0,Partial – Policy/Budget,1,22
JR-2279,295,295,295,175,155,276,182,0,Partial – Policy/Budget,7,27
JR-2280,296,296,296,32,7,264,32,0,Partial – Policy/Budget,0,25
JR-2281,297,297,297,154,128,109,153,1,Partial – Stockout,-1,25
JR-2285,298,298,298,19,0,478,31,0,Partial – Policy/Budget,12,31
JR-2291,299,299,299,117,103,410,106,0,Partial – Policy/Budget,-11,3
JR-2300,300,300,300,15,11,191,7,0,Partial – Policy/Budget,-8,-4
JR-2302,301,301,301,19,0,122,0,0,Partial – Policy/Budget,-19,0
JR-2311,302,302,302,36,13,374,23,0,Partial – Policy/Budget,-13,10
JR-2316,303,303,303,132,103,96,151,1,Partial – Stockout,19,48
JR-2323,304,304,304,82,63,75,103,1,Partial – Stockout,21,40
JR-2335,305,305,305,149,128,72,139,1,Partial – Stockout,-10,11
JR-2336,306,306,306,69,55,338,115,0,Partial – Policy/Budget,46,60
JR-2341,307,307,307,134,120,270,147,0,Partial – Policy/Budget,13,27
JR-2343,308,308,308,71,44,423,74,0,Partial – Policy/Budget,3,30
JR-2347,309,309,309,28,23,127,36,0,Partial – Policy/Budget,8,13
JR-2350,310,310,310,,49,256,116,0,Unknown,,67
JR-2353,311,311,311,88,67,375,65,0,Partial – Policy/Budget,-23,-2
JR-2363,312,312,312,180,152,281,191,0,Partial – Policy/Budget,11,39
JR-2364,313,313,313,65,44,217,50,0,Partial – Policy/Budget,-15,6
JR-2369,314,314,314,137,110,228,141,0,Partial – Policy/Budget,4,31
JR-2369,315,315,315,79,77,261,67,0,Partial – Policy/Budget,-12,-10
JR-2370,316,316,316,24,7,86,0,0,Partial – Policy/Budget,-24,-7
JR-2382,317,317,317,106,95,93,106,1,Partial – Stockout,0,11
JR-2382,318,318,318,37,18,478,40,0,Partial – Policy/Budget,3,22
JR-2387,319,319,319,14,6,424,41,0,Partial – Policy/Budget,27,35
JR-2388,320,320,320,34,10,43,26,0,Partial – Policy/Budget,-8,16
JR-2389,321,321,321,72,56,339,67,0,Partial – Policy/Budget,-5,11
JR-2391,322,322,322,13,9,80,14,0,Partial – Policy/Budget,1,5
JR-2402,323,323,323,76,58,474,63,0,Partial – Policy/Budget,-13,5
JR-2406,324,324,324,46,23,55,27,0,Partial – Policy/Budget,-19,4
JR-2410,325,325,325,144,115,237,161,0,Partial – Policy/Budget,17,46
JR-2412,326,326,326,170,155,66,169,1,Partial – Stockout,-1,14
JR-2412,327,327,327,16,7,203,28,0,Partial – Policy/Budget,12,21
JR-2415,328,328,328,47,37,302,52,0,Partial – Policy/Budget,5,15
JR-2424,329,329,329,78,65,394,30,0,Partial – Policy/Budget,-48,-35
JR-2426,330,330,330,85,71,455,113,0,Partial – Policy/Budget,28,42
JR-2428,331,331,331,127,124,232,116,0,Partial – Policy/Budget,-11,-8
JR-2433,332,332,332,18,17,91,22,0,Partial – Policy/Budget,4,5
JR-2435,333,333,333,32,28,7,35,1,Partial – Stockout,3,7
JR-2435,334,334,334,55,32,454,67,0,Partial – Policy/Budget,12,35
JR-2460,335,335,335,87,64,303,86,0,Partial – Policy/Budget,-1,22
JR-2467,336,336,336,28,7,211,20,0,Partial – Policy/Budget,-8,13
JR-2468,337,337,337,81,59,271,69,0,Partial – Policy/Budget,-12,10
JR-2469,338,338,338,101,79,62,100,1,Partial – Stockout,-1,21
JR-2474,339,339,339,157,137,155,153,1,Partial – Stockout,-4,16
JR-2477,340,340,340,38,38,252,22,0,Full,-16,-16
JR-2477,341,341,341,64,54,354,71,0,Partial – Policy/Budget,7,17
JR-2478,342,342,342,60,41,62,46,0,Partial – Policy/Budget,-14,5
JR-2480,343,343,343,111,108,389,130,0,Partial – Policy/Budget,19,22
JR-2487,344,344,344,37,10,382,24,0,Partial – Policy/Budget,-13,14
JR-2490,345,345,345,94,94,380,96,0,Full,2,2
JR-2494,346,346,346,180,177,0,197,1,Partial – Stockout,17,20
JR-2494,347,347,347,21,19,221,98,0,Partial – Policy/Budget,77,79
JR-2504,348,348,348,67,43,151,30,0,Partial – Policy/Budget,-37,-13
JR-2506,349,349,349,183,156,296,185,0,Partial – Policy/Budget,2,29
JR-2506,350,350,350,84,81,21,61,1,Partial – Stockout,-23,-20
JR-2511,351,351,351,15,2,454,24,0,Partial – Policy/Budget,9,22
JR-2514,352,352,352,,114,424,125,0,Unknown,,11
JR-2524,353,353,353,75,68,207,97,0,Partial – Policy/Budget,22,29
JR-2525,354,354,354,86,67,314,81,0,Partial – Policy/Budget,-5,14
JR-2535,355,355,355,126,121,235,129,0,Partial – Policy/Budget,3,8
JR-2537,356,356,356,137,123,169,173,0,Partial – Policy/Budget,36,50
JR-2541,357,357,357,94,65,129,77,0,Partial – Policy/Budget,-17,12
JR-2562,358,358,358,152,132,153,156,0,Partial – Policy/Budget,4,24
JR-2578,359,359,359,134,130,123,131,1,Partial – Stockout,-3,1
JR-2582,360,360,360,170,165,370,178,0,Partial – Policy/Budget,8,13
JR-2584,361,361,361,100,89,406,141,0,Partial – Policy/Budget,41,52
JR-2589,362,362,362,6,0,87,0,0,Partial – Policy/Budget,-6,0
JR-2591,363,363,363,25,2,118,60,0,Partial – Policy/Budget,35,58
JR-2591,364,364,364,160,140,20,160,1,Partial – Stockout,0,20
JR-2594,365,365,365,109,98,182,136,0,Partial – Policy/Budget,27,38
JR-2595,366,366,366,74,56,246,68,0,Partial – Policy/Budget,-6,12
JR-2596,367,367,367,9,3,381,43,0,Partial – Policy/Budget,34,40
