DateKey,Year,Month
466,2022,12
467,2021,3
468,2019,7
469,2023,5
470,2019,2
471,2019,4
472,2023,5
473,2019,1
474,2020,4
475,2022,4
476,2023,6
477,2019,10
478,2021,2
479,2023,9
480,2022,5
481,2022,10
482,2021,2
483,2022,3
484,2020,3
485,2021,3
486,2021,5
487,2022,5
488,2022,12
489,2020,7
490,2020,4
491,2019,12
492,2019,8
493,2020,1
494,2019,6
495,2021,7
496,2021,6
497,2019,8
498,2019,8
499,2019,5
500,2023,7
501,2020,2
502,2020,6
503,2023,8
504,2023,3
505,2020,4
506,2019,9
507,2021,8
508,2023,9
509,2021,8
510,2019,2
511,2020,3
512,2022,8
513,2021,11
514,2022,4
515,2020,11
516,2019,5
517,2021,5
518,2020,2
519,2019,3
520,2021,11
521,2022,5
522,2022,5
523,2022,7
524,2022,2
525,2023,6
526,2020,11
527,2023,7
528,2021,2
529,2022,6
530,2019,5
531,2022,9
532,2021,1
533,2023,3
534,2022,9
535,2022,10
536,2021,7
537,2023,2
538,2022,11
539,2021,11
540,2022,12
541,2020,7
542,2021,5
543,2022,9
544,2022,2
545,2022,3
546,2020,5
547,2020,5
548,2022,2
549,2019,12
550,2022,6
551,2023,11
552,2023,1
553,2021,7
554,2021,5
555,2022,2
556,2019,12
557,2023,11
558,2022,12
559,2023,12
560,2023,10
561,2019,7
562,2021,8
563,2020,5
564,2023,6
565,2019,9
566,2022,12
567,2023,8
568,2019,6
569,2019,6
570,2023,10
571,2022,6
572,2023,7
573,2019,6
574,2023,9
575,2021,7
576,2019,5
577,2021,6
578,2023,9
579,2019,9
580,2020,10
581,2020,4
582,2022,5
583,2022,10
584,2020,3
585,2023,4
586,2022,8
587,2023,5
588,2021,5
589,2022,4
590,2019,7
591,2022,3
592,2023,4
593,2020,4
594,2023,2
595,2020,10
596,2023,7
597,2023,3
598,2019,1
599,2019,7
600,2022,6
601,2019,10
602,2019,5
603,2019,6
604,2021,9
605,2022,3
606,2022,12
607,2019,9
608,2022,6
609,2019,6
610,2021,12
611,2023,9
612,2019,6
613,2022,11
614,2020,3
615,2020,1
616,2021,7
617,2019,2
618,2023,3
619,2019,3
620,2019,1
621,2020,6
622,2020,9
623,2020,2
624,2019,12
625,2020,2
626,2023,7
627,2019,11
628,2022,4
629,2019,12
630,2021,7
631,2021,2
632,2019,6
633,2023,8
634,2023,9
635,2020,3
636,2022,1
637,2020,7
638,2022,2
639,2021,11
640,2022,2
641,2019,2
642,2019,9
643,2022,10
644,2021,1
645,2021,1
646,2022,8
647,2021,11
648,2022,1
649,2022,12
650,2022,2
651,2023,1
652,2023,11
653,2022,10
654,2022,5
655,2021,5
656,2023,1
657,2021,4
658,2020,1
659,2023,3
660,2022,6
661,2023,11
662,2019,2
663,2023,11
664,2020,5
665,2021,11
666,2021,9
667,2021,3
668,2020,8
669,2020,1
670,2019,2
671,2022,4
672,2022,2
673,2021,2
674,2021,9
675,2021,11
676,2023,10
677,2021,5
678,2021,9
679,2023,6
680,2022,12
681,2022,1
682,2020,1
683,2022,2
684,2021,7
685,2019,4
686,2021,6
687,2021,3
688,2022,11
689,2020,2
690,2021,4
691,2019,10
692,2022,3
693,2023,1
694,2019,2
695,2019,7
696,2020,6
697,2023,11
698,2019,10
699,2019,5
700,2021,7
701,2022,7
702,2022,12
703,2022,7
704,2021,5
705,2020,2
706,2019,3
707,2023,5
708,2019,11
709,2021,3
710,2020,1
711,2023,11
712,2020,2
713,2020,7
714,2019,10
715,2022,2
716,2020,3
717,2020,5
718,2021,5
719,2020,2
720,2020,2
721,2022,7
722,2023,1
723,2023,3
724,2019,11
725,2019,3
726,2021,1
727,2021,4
728,2023,7
729,2019,8
730,2019,11
731,2021,4
732,2020,1
733,2020,8
734,2019,1
735,2020,11
736,2020,4
737,2021,11
738,2020,11
739,2021,10
740,2020,8
741,2022,9
742,2019,8
743,2020,11
744,2022,3
745,2020,2
746,2019,3
747,2020,9
748,2019,2
749,2020,7
750,2023,9
751,2019,9
752,2023,8
753,2021,10
754,2022,11
755,2023,6
756,2019,4
757,2021,1
758,2023,5
759,2021,8
760,2023,11
761,2020,1
762,2023,5
763,2023,1
764,2023,3
765,2022,12
766,2023,7
767,2023,8
768,2019,4
769,2021,1
770,2022,8
771,2022,12
772,2022,10
773,2023,2
774,2023,10
775,2023,2
776,2019,9
777,2023,6
778,2022,8
779,2020,6
780,2020,12
781,2023,8
782,2021,5
783,2020,10
784,2020,8
785,2020,9
786,2023,2
787,2019,3
788,2022,11
789,2019,8
790,2019,12
791,2021,12
792,2023,1
793,2021,7
794,2020,10
795,2022,12
796,2020,8
797,2019,7
798,2019,9
799,2023,8
800,2021,6
801,2021,5
802,2020,12
803,2021,8
804,2022,12
805,2022,8
806,2019,4
807,2023,2
808,2022,8
809,2022,10
810,2019,7
811,2023,9
812,2019,9
813,2022,6
814,2020,1
815,2020,9
816,2023,3
817,2023,6
818,2019,11
819,2020,5
820,2020,2
821,2023,8
822,2023,4
823,2022,9
824,2020,12
825,2021,12
826,2023,2
827,2019,1
828,2023,1
829,2021,3
830,2020,7
831,2020,1
832,2021,3
833,2020,4
834,2020,5
835,2019,3
836,2023,4
837,2019,8
838,2021,11
839,2020,4
840,2022,7
841,2020,10
842,2019,12
843,2023,3
844,2022,11
845,2021,2
846,2022,10
847,2019,3
848,2020,11
849,2022,5
850,2020,2
851,2021,10
852,2021,3
853,2022,1
854,2022,8
855,2021,11
856,2020,5
857,2019,10
858,2020,10
859,2021,3
860,2023,12
861,2020,7
862,2022,11
863,2023,7
864,2022,5
865,2022,12
866,2021,5
867,2021,4
868,2020,12
869,2019,9
870,2020,3
871,2021,1
872,2019,11
873,2021,2
874,2023,5
875,2021,7
876,2019,9
877,2023,4
878,2022,12
879,2023,9
880,2019,1
881,2022,2
882,2023,11
883,2019,5
884,2021,7
885,2021,9
886,2020,2
887,2020,8
888,2021,8
889,2021,6
890,2020,5
891,2019,4
892,2023,1
893,2022,8
894,2022,4
895,2021,9
896,2022,11
897,2020,6
898,2021,3
899,2019,4
900,2020,4
901,2022,10
902,2021,10
903,2021,11
904,2020,6
905,2019,3
906,2020,7
907,2020,10
908,2023,10
909,2022,12
910,2022,10
911,2023,1
912,2019,3
913,2020,4
914,2020,2
915,2020,9
916,2022,6
917,2020,6
918,2021,5
919,2019,1
920,2021,3
921,2023,8
922,2022,3
923,2021,10
924,2020,9
925,2021,7
926,2023,10
927,2019,6
928,2023,1
929,2023,12
930,2021,5
931,2020,3
932,2019,4
933,2021,8
934,2019,6
935,2020,5
936,2021,5
937,2021,4
938,2023,2
939,2021,11
940,2020,3
941,2021,5
942,2020,11
943,2021,10
944,2019,8
945,2023,6
946,2022,7
947,2021,11
948,2022,7
949,2022,7
950,2019,11
951,2021,8
952,2022,5
953,2022,9
954,2023,6
955,2019,1
956,2019,4
957,2019,10
958,2020,6
959,2019,3
960,2019,2
961,2019,7
962,2023,9
963,2019,10
964,2020,12
965,2022,7
966,2023,12
967,2023,10
968,2020,1
969,2021,3
970,2021,4
971,2022,9
972,2022,4
973,2023,1
974,2022,12
975,2021,8
976,2023,4
977,2019,2
978,2023,4
979,2020,5
980,2022,3
981,2022,8
982,2021,10
983,2019,6
984,2019,12
985,2019,11
986,2021,1
987,2020,9
988,2019,2
989,2020,6
990,2019,9
991,2019,7
992,2022,4
993,2023,2
994,2021,7
995,2019,11
996,2021,5
997,2020,6
998,2019,2
999,2022,2
1000,2022,2
1001,2021,12
1002,2021,2
1003,2022,2
1004,2021,6
1005,2020,3
1006,2019,1
1007,2020,6
1008,2023,11
1009,2021,9
1010,2023,2
1011,2022,2
1012,2020,9
1013,2023,5
1014,2023,7
1015,2022,7
1016,2021,11
1017,2023,12
1018,2022,2
1019,2022,1
1020,2020,6
1021,2023,1
1022,2019,6
1023,2020,11
1024,2021,2
1025,2021,12
1026,2020,7
1027,2020,2
1028,2020,9
1029,2023,8
1030,2023,5
1031,2019,12
1032,2020,2
1033,2023,9
1034,2020,8
1035,2023,12
1036,2021,3
1037,2019,4
1038,2023,1
1039,2021,12
1040,2021,8
1041,2021,11
1042,2023,4
1043,2019,10
1044,2019,9
1045,2021,3
1046,2021,8
1047,2023,8
1048,2020,10
1049,2021,9
1050,2020,9
1051,2020,10
1052,2020,11
1053,2019,3
1054,2022,10
1055,2021,4
1056,2022,6
1057,2022,8
1058,2023,9
1059,2023,10
1060,2021,1
1061,2021,7
1062,2020,4
1063,2020,9
1064,2020,4
1065,2019,6
1066,2022,6
1067,2021,12
1068,2023,3
1069,2022,1
1070,2020,7
1071,2019,8
1072,2020,10
1073,2023,8
1074,2023,3
1075,2020,11
1076,2019,9
1077,2023,7
1078,2020,4
1079,2020,3
1080,2021,11
1081,2023,11
1082,2019,8
1083,2020,6
1084,2020,7
1085,2019,6
1086,2023,12
1087,2019,5
1088,2019,1
1089,2023,6
1090,2021,11
1091,2023,1
1092,2021,9
1093,2022,12
1094,2023,7
1095,2023,5
1096,2022,1
1097,2019,2
1098,2020,6
1099,2023,9
1100,2021,4
1101,2020,2
1102,2021,12
1103,2022,11
1104,2019,7
1105,2022,7
1106,2019,7
1107,2021,8
1108,2022,12
1109,2023,3
1110,2023,6
1111,2019,7
1112,2023,5
1113,2020,4
1114,2020,3
1115,2023,6
1116,2019,11
1117,2023,6
1118,2021,8
1119,2020,1
1120,2020,10
1121,2022,9
1122,2023,4
1123,2020,6
1124,2020,11
1125,2021,4
1126,2020,8
1127,2022,8
1128,2021,3
1129,2019,1
1130,2021,4
1131,2019,8
1132,2023,3
1133,2023,10
1134,2022,7
1135,2021,5
1136,2020,3
1137,2020,12
1138,2022,7
1139,2023,3
1140,2023,3
1141,2020,12
1142,2021,9
1143,2023,11
1144,2023,8
1145,2020,6
1146,2019,9
1147,2022,11
1148,2022,6
1149,2020,5
1150,2021,9
1151,2019,1
1152,2020,12
1153,2021,8
1154,2023,10
1155,2023,6
1156,2021,10
1157,2022,8
1158,2019,12
1159,2022,3
1160,2019,5
1161,2023,12
1162,2023,4
1163,2020,5
1164,2022,3
1165,2020,12
1166,2019,2
1167,2021,4
1168,2023,9
1169,2023,3
1170,2023,1
1171,2021,5
1172,2019,11
1173,2023,3
1174,2020,8
1175,2021,9
1176,2020,12
1177,2023,11
1178,2020,5
1179,2023,7
1180,2023,12
1181,2019,8
1182,2023,1
1183,2019,3
1184,2019,3
1185,2023,7
1186,2023,9
1187,2019,11
1188,2019,6
1189,2020,10
1190,2020,4
1191,2022,10
1192,2023,10
1193,2023,2
1194,2021,1
1195,2019,7
1196,2023,7
1197,2022,11
1198,2020,12
1199,2023,2
1200,2023,9
1201,2021,9
1202,2019,10
1203,2022,6
1204,2021,6
1205,2019,10
1206,2019,12
1207,2019,3
1208,2021,3
1209,2020,6
1210,2020,8
1211,2019,8
1212,2022,4
1213,2019,8
1214,2022,6
1215,2019,1
1216,2022,11
1217,2020,3
1218,2019,7
1219,2021,9
1220,2020,5
1221,2022,1
1222,2020,9
1223,2022,10
1224,2023,8
1225,2022,8
1226,2019,7
1227,2022,4
1228,2022,10
1229,2023,4
1230,2020,1
1231,2023,11
1232,2023,9
1233,2021,5
1234,2019,12
1235,2022,2
1236,2022,8
1237,2023,9
1238,2023,5
1239,2021,3
1240,2023,10
1241,2023,9
1242,2020,4
1243,2019,6
1244,2021,2
1245,2020,1
1246,2021,3
1247,2023,8
1248,2020,5
1249,2019,10
1250,2023,2
1251,2022,7
1252,2020,11
1253,2020,3
1254,2023,1
1255,2022,8
1256,2022,2
1257,2020,5
1258,2020,9
1259,2022,9
1260,2021,6
1261,2023,11
1262,2021,6
1263,2020,7
1264,2020,6
1265,2020,3
1266,2020,5
1267,2019,6
1268,2023,3
1269,2023,4
1270,2019,9
1271,2021,4
1272,2021,8
1273,2019,1
1274,2021,12
1275,2020,10
1276,2022,8
1277,2020,7
1278,2020,12
1279,2021,1
1280,2023,5
1281,2020,9
1282,2023,8
1283,2023,5
1284,2022,10
1285,2020,11
1286,2020,6
1287,2022,10
1288,2020,6
1289,2023,6
1290,2022,4
1291,2021,11
1292,2020,1
1293,2019,9
1294,2023,1
1295,2023,10
1296,2019,5
1297,2019,4
1298,2019,5
1299,2019,1
1300,2020,2
1301,2020,2
1302,2021,10
1303,2022,3
1304,2020,10
1305,2019,11
1306,2019,5
1307,2023,8
1308,2019,8
1309,2019,3
1310,2020,1
1311,2022,3
1312,2021,6
1313,2021,11
1314,2022,4
1315,2022,1
1316,2021,10
1317,2023,1
1318,2023,11
1319,2019,1
1320,2020,3
1321,2023,4
1322,2019,3
1323,2021,1
1324,2019,3
1325,2020,10
1326,2020,8
1327,2023,9
1328,2022,9
1329,2019,11
1330,2021,9
1331,2021,1
1332,2020,12
1333,2020,11
1334,2023,5
1335,2022,8
1336,2020,7
1337,2021,8
1338,2021,9
1339,2019,11
1340,2023,10
1341,2023,6
1342,2023,11
1343,2023,7
1344,2020,3
1345,2022,11
1346,2019,5
1347,2020,2
1348,2019,5
1349,2022,5
1350,2023,2
1351,2019,7
1352,2021,7
1353,2023,7
1354,2022,1
1355,2019,1
1356,2021,6
1357,2020,3
1358,2023,8
1359,2022,4
1360,2021,7
1361,2023,9
1362,2021,3
1363,2021,8
1364,2019,7
1365,2023,1
1366,2019,4
1367,2022,11
1368,2022,1
1369,2022,2
1370,2023,2
1371,2019,12
1372,2022,4
1373,2022,5
1374,2019,7
1375,2020,2
1376,2021,1
1377,2020,11
1378,2021,12
1379,2019,5
1380,2022,1
1381,2023,5
1382,2022,12
1383,2021,1
1384,2022,3
1385,2020,12
1386,2019,3
1387,2021,10
1388,2021,11
1389,2019,9
1390,2023,12
1391,2023,5
1392,2019,5
1393,2021,5
1394,2022,5
1395,2023,2
1396,2021,8
1397,2021,2
1398,2022,9
1399,2021,8
1400,2020,6
1401,2022,5
1402,2020,2
1403,2023,1
1404,2023,11
1405,2022,12
1406,2023,6
1407,2022,9
1408,2019,4
1409,2020,1
1410,2021,6
1411,2019,8
1412,2019,6
1413,2019,10
1414,2021,2
1415,2023,10
1416,2022,8
1417,2019,10
1418,2019,2
1419,2020,8
1420,2022,5
1421,2023,2
1422,2020,1
1423,2020,11
1424,2022,6
1425,2021,9
1426,2020,6
1427,2019,3
1428,2022,8
1429,2019,5
1430,2020,5
1431,2023,12
1432,2019,3
1433,2023,3
1434,2021,6
1435,2021,8
1436,2019,12
1437,2022,5
1438,2023,6
1439,2019,9
1440,2019,11
1441,2023,12
1442,2021,9
1443,2020,9
1444,2021,8
1445,2023,1
1446,2023,9
1447,2019,4
1448,2023,10
1449,2022,6
1450,2021,12
1451,2021,7
1452,2021,3
1453,2020,11
1454,2023,12
1455,2019,1
1456,2023,5
1457,2022,7
1458,2022,11
1459,2021,1
1460,2022,3
1461,2019,12
1462,2019,9
1463,2021,12
1464,2019,2
1465,2020,12
1466,2021,4
1467,2023,7
1468,2022,7
1469,2022,5
1470,2020,6
1471,2022,8
1472,2019,7
1473,2019,2
1474,2019,11
1475,2021,7
1476,2019,4
1477,2023,11
1478,2023,7
1479,2021,10
1480,2021,4
1481,2019,2
1482,2020,2
1483,2022,5
1484,2023,4
1485,2023,5
1486,2023,6
1487,2023,9
1488,2020,1
1489,2022,6
1490,2020,5
1491,2020,9
1492,2022,1
1493,2020,3
1494,2019,1
1495,2020,7
1496,2023,2
1497,2020,9
1498,2023,10
1499,2021,2
1500,2020,9
1501,2020,11
1502,2022,9
1503,2020,4
1504,2021,9
1505,2022,10
1506,2019,5
1507,2019,5
1508,2020,1
1509,2022,1
1510,2020,7
1511,2022,3
1512,2021,6
1513,2023,2
1514,2023,12
1515,2021,10
1516,2019,4
1517,2019,9
1518,2023,12
1519,2021,1
1520,2022,11
1521,2020,7
1522,2021,2
1523,2023,12
1524,2020,12
1525,2023,4
1526,2019,11
1527,2020,12
1528,2020,8
1529,2019,8
1530,2020,9
1531,2020,6
1532,2023,8
1533,2020,9
1534,2020,4
1535,2020,6
1536,2019,2
1537,2021,11
1538,2023,2
1539,2022,4
1540,2023,12
1541,2021,8
1542,2022,9
1543,2020,1
1544,2023,8
1545,2023,4
1546,2019,6
1547,2020,11
1548,2023,12
1549,2019,2
1550,2022,7
1551,2022,1
1552,2020,8
1553,2023,2
1554,2020,1
1555,2020,4
1556,2021,4
1557,2022,12
1558,2022,9
1559,2022,7
1560,2020,6
1561,2022,11
1562,2021,1
1563,2021,1
1564,2023,10
1565,2021,4
1566,2020,8
1567,2021,1
1568,2019,11
1569,2023,5
1570,2021,12
1571,2021,4
1572,2020,11
1573,2021,1
1574,2021,2
1575,2020,5
1576,2022,2
1577,2020,10
1578,2020,2
1579,2021,12
1580,2019,6
1581,2020,8
1582,2023,5
1583,2020,8
1584,2021,10
1585,2020,1
1586,2020,12
1587,2019,11
1588,2022,11
1589,2022,8
1590,2022,6
1591,2021,11
1592,2021,3
1593,2020,10
1594,2019,7
1595,2021,9
1596,2020,9
1597,2019,7
1598,2021,5
1599,2020,5
1600,2021,12
1601,2022,3
1602,2022,7
1603,2023,11
1604,2021,1
1605,2019,1
1606,2019,6
1607,2019,12
1608,2023,9
1609,2021,3
1610,2019,9
1611,2019,2
1612,2019,6
1613,2019,1
1614,2020,8
1615,2022,10
1616,2019,3
1617,2021,3
1618,2023,7
1619,2021,6
1620,2022,9
1621,2023,4
1622,2020,12
1623,2022,9
1624,2022,10
1625,2021,2
1626,2023,11
1627,2019,12
1628,2020,10
1629,2020,1
1630,2023,12
1631,2019,7
1632,2021,4
1633,2022,2
1634,2023,1
1635,2020,1
1636,2023,2
1637,2020,4
1638,2022,8
1639,2020,9
1640,2023,6
1641,2023,10
1642,2020,7
1643,2019,7
1644,2022,3
1645,2019,6
1646,2022,3
1647,2023,3
1648,2020,10
1649,2019,12
1650,2019,4
1651,2023,2
1652,2022,8
1653,2019,10
1654,2022,1
1655,2023,11
1656,2019,2
1657,2023,12
1658,2022,2
1659,2020,6
1660,2022,4
1661,2023,4
1662,2019,10
1663,2019,10
1664,2022,5
1665,2023,9
1666,2022,6
1667,2023,6
1668,2022,2
1669,2022,4
1670,2022,4
1671,2020,8
1672,2023,9
1673,2023,1
1674,2021,1
1675,2021,10
1676,2023,6
1677,2023,5
1678,2021,6
1679,2021,11
1680,2022,10
1681,2021,11
1682,2019,2
1683,2020,3
1684,2022,3
1685,2023,10
1686,2022,9
1687,2019,3
1688,2023,6
1689,2020,6
1690,2021,6
1691,2023,11
1692,2019,4
1693,2021,6
1694,2022,10
1695,2023,3
1696,2023,1
1697,2023,3
1698,2023,1
1699,2020,2
1700,2021,5
1701,2022,3
1702,2023,7
1703,2020,10
1704,2023,4
1705,2022,4
1706,2021,5
1707,2020,3
1708,2023,8
1709,2020,10
1710,2020,12
1711,2021,2
1712,2020,12
1713,2021,6
1714,2023,8
1715,2023,6
1716,2020,12
1717,2022,5
1718,2022,11
1719,2022,5
1720,2021,3
1721,2020,5
1722,2021,9
1723,2020,8
1724,2022,7
1725,2019,4
1726,2021,11
1727,2020,11
1728,2022,7
1729,2020,4
1730,2019,12
1731,2019,11
1732,2023,5
1733,2019,12
1734,2022,9
1735,2022,11
1736,2019,10
1737,2022,4
1738,2020,2
1739,2023,4
1740,2023,4
1741,2019,10
1742,2019,3
1743,2020,5
1744,2022,6
1745,2021,12
1746,2021,10
1747,2021,9
1748,2019,6
1749,2022,1
1750,2023,11
1751,2021,5
1752,2019,5
1753,2019,10
1754,2020,1
1755,2023,4
1756,2020,8
1757,2022,6
1758,2019,6
1759,2023,8
1760,2020,10
1761,2020,3
1762,2020,2
1763,2023,8
1764,2022,6
1765,2021,7
1766,2021,2
1767,2022,1
1768,2021,3
1769,2023,7
1770,2020,3
1771,2021,5
1772,2023,9
1773,2019,9
1774,2023,8
1775,2019,11
1776,2019,1
1777,2023,9
1778,2019,9
1779,2021,11
1780,2019,3
1781,2023,5
1782,2021,11
1783,2020,4
1784,2019,4
1785,2021,9
1786,2021,10
1787,2021,5
1788,2022,1
1789,2021,9
1790,2020,7
1791,2021,12
1792,2023,4
1793,2021,3
1794,2021,10
1795,2023,7
1796,2019,8
1797,2019,6
1798,2021,12
1799,2022,12
1800,2023,2
1801,2021,11
1802,2019,6
1803,2019,4
1804,2022,5
1805,2022,1
1806,2023,11
1807,2022,9
1808,2019,3
1809,2020,7
1810,2023,11
1811,2019,10
1812,2021,5
1813,2023,1
1814,2019,11
1815,2019,11
1816,2019,12
1817,2023,7
1818,2019,7
1819,2020,9
1820,2023,1
1821,2019,8
1822,2021,12
1823,2019,7
1824,2022,11
1825,2022,8
1826,2020,7
1827,2022,1
1828,2022,4
1829,2023,6
1830,2019,7
1831,2021,7
1832,2023,6
1833,2020,5
1834,2021,2
1835,2022,9
1836,2022,12
1837,2019,12
1838,2020,8
1839,2020,12
1840,2021,9
1841,2022,12
1842,2022,6
1843,2020,8
1844,2019,8
1845,2019,8
1846,2022,3
1847,2020,11
1848,2019,11
1849,2020,5
1850,2022,2
1851,2021,12
1852,2019,9
1853,2020,10
1854,2023,6
1855,2023,12
1856,2023,10
1857,2019,4
1858,2020,6
1859,2021,2
1860,2021,5
1861,2019,1
1862,2019,5
1863,2021,5
1864,2021,8
1865,2021,12
1866,2022,1
1867,2022,5
1868,2023,7
1869,2021,7
1870,2022,11
1871,2021,1
1872,2020,3
